Company,URL,Provider,IP_Address
amnezia,amnezia.org,AWS,143.204.98.91
Google,google.com,Google,142.250.179.206
Amazon,amazon.com,AWS,205.251.242.103
Microsoft,microsoft.com,Microsoft,13.107.253.67
GitHub,github.com,AWS,140.82.121.3
Stack Overflow,stackoverflow.com,Cloudflare,104.18.32.7
gcore,gcore.com,Gcore,92.223.84.84
